BASE_YY,CLASS_NM,SIDO_NM,유_특수1정_CNT1,유_특수2정_CNT1,유_일반_CNT1,초_특수1정_CNT1,초_특수2정_CNT1,초_일반_CNT1,중고_특수1정_CNT1,중고_특수2정_CNT1,중고_일반_CNT1
2020,특수학교,대전,9,3,0,49,24,0,115,70,2
2020,특수학교,울산,4,0,0,35,28,0,102,65,0
2020,특수학교,세종,2,0,0,4,9,0,15,16,0
2020,특수학교,경기,47,29,2,257,206,0,609,468,0
2020,특수학교,강원,7,0,0,65,14,0,146,64,1
2020,특수학교,충북,16,2,0,78,38,0,132,108,2
2020,특수학교,충남,6,5,0,49,41,2,117,104,4
2020,특수학교,전북,11,7,0,47,27,0,134,118,0
2020,특수학교,전남,5,1,0,57,17,0,136,93,1
2020,특수학교,경북,8,4,0,74,24,1,200,84,5
2020,특수학교,경남,3,8,0,78,71,0,191,172,0
2020,특수학교,제주,3,1,0,29,19,0,63,26,0
2021,특수학교,서울,64,32,0,306,116,0,523,317,11
2021,특수학교,부산,39,8,3,115,79,0,222,66,3
2021,특수학교,대구,5,1,0,106,66,1,229,121,1
2021,특수학교,인천,11,0,0,84,100,0,165,107,0
2021,특수학교,광주,7,6,0,57,34,0,177,51,1
2021,특수학교,대전,14,1,0,51,31,0,120,77,1
2021,특수학교,울산,2,1,0,28,30,0,105,65,0
2021,특수학교,세종,2,1,0,7,13,0,19,9,0
2021,특수학교,경기,51,26,3,299,202,0,684,419,1
2021,특수학교,강원,6,0,0,71,13,0,183,35,0
2021,특수학교,충북,13,6,0,80,48,1,161,83,1
2021,특수학교,충남,6,5,1,53,55,1,150,84,1
2021,특수학교,전북,9,9,0,40,33,0,155,93,0
2021,특수학교,전남,4,2,0,53,22,0,147,80,1
2021,특수학교,경북,8,1,1,69,28,0,213,71,2
2021,특수학교,경남,4,7,0,86,69,0,229,148,0
2021,특수학교,제주,4,1,0,35,15,0,63,24,0
2010,특수학급,서울,29,6,0,410,218,0,250,133,0
2010,특수학급,부산,5,2,2,195,35,98,84,69,17
2010,특수학급,대구,1,6,0,85,58,58,49,58,7
2010,특수학급,인천,9,11,0,134,124,14,44,68,1
2010,특수학급,광주,4,4,0,76,31,6,54,39,0
2010,특수학급,대전,6,9,0,60,68,0,41,54,1
2010,특수학급,울산,2,4,0,23,66,4,17,57,0
2010,특수학급,경기,22,53,2,384,646,3,238,666,7
